Acc_X,Acc_Y,Acc_Z,AngV_X,AngV_Y,AngV_Z,Mag_X,Mag_Y,Mag_Z,Orin_X,Orin_Y,Orin_Z,Activity
-2.123484,4.130211,12.489129,0.150856,-0.03727,0.655305,17.466167,3.974951,-45.710392,39.136506,-17.930812,8.258985,Walking
-2.113156,3.196004,13.884078,0.004453,-0.349655,0.609139,17.160561,3.204886,-46.214642,37.174891,-18.250383,6.893865,Walking
-1.429677,2.205813,11.257041,0.242836,-0.145576,0.642419,16.824726,1.830272,-46.109715,35.258335,-19.017144,5.895178,Walking
-1.2023,2.388284,7.884554,0.856523,0.228535,1.008196,17.385483,-0.628039,-46.157703,32.480222,-21.546399,5.601027,Walking
-1.566043,2.685715,7.828421,0.564445,0.424226,0.961849,17.852844,-3.098497,-45.598743,29.562818,-23.522176,5.657967,Walking
-0.103285,2.752327,10.210567,-0.043233,0.003355,1.003791,17.579575,-3.822254,-45.299335,26.448377,-23.823886,4.612871,Walking
-0.245639,2.365531,10.062076,-0.283226,-0.394605,0.776284,16.523155,-4.158175,-45.333347,23.866677,-23.260777,2.575842,Walking
-0.778381,2.577191,7.257209,0.152379,0.559816,0.521464,17.02887,-4.730328,-45.068401,22.151772,-23.539469,3.133137,Walking
-0.27902,3.188519,6.767726,0.115337,0.479839,0.70967,17.733131,-5.378679,-44.451206,20.043323,-23.993622,3.76382,Walking
-0.296683,3.499273,7.705826,-0.017645,0.105101,0.367144,17.793503,-5.928747,-44.109341,18.766133,-24.041448,3.662005,Walking
-1.17341,3.685785,8.966205,-0.2926,0.240239,-0.039914,18.203781,-5.155072,-43.921635,18.751504,-23.283087,4.263954,Walking
-1.806144,3.892805,9.261391,-0.073616,0.226601,-0.18479,18.37162,-4.420444,-43.515606,19.338701,-22.893234,5.185362,Walking
-2.117796,4.258494,9.851913,-0.126451,0.287173,-0.169229,18.862827,-4.103571,-43.345478,19.9297,-22.503491,6.129909,Walking
-1.247206,4.682563,11.768976,-0.259114,0.19741,-0.018304,19.097206,-3.344742,-42.959179,20.134807,-21.772877,6.81808,Walking
-1.08689,2.966232,14.563365,-0.767872,-0.510843,-0.40589,18.40424,-1.518565,-43.322002,21.096471,-19.8113,6.254038,Walking
-0.922831,1.770219,10.701845,-0.308775,-0.401569,-0.4012,17.574902,-0.076118,-43.921398,22.477505,-18.540702,5.43421,Walking
-1.266067,2.354454,7.344926,0.592853,0.921928,0.317753,18.431717,-0.887196,-43.293049,22.051686,-20.051027,7.496027,Walking
-0.88017,2.949017,7.397467,0.500288,0.435628,0.690539,19.764877,-2.294353,-42.41441,20.526431,-21.766259,8.423566,Walking
-0.640069,2.914589,8.753647,0.129894,-0.394532,0.78207,19.139957,-3.507465,-42.693424,18.424684,-22.540943,6.691517,Walking
-2.367028,2.788252,8.501571,-0.340958,0.088347,0.498955,18.902145,-3.054224,-42.923489,16.98587,-21.816258,6.089025,Walking
-2.465972,2.992427,8.617729,-0.330168,0.306078,0.68586,19.225922,-3.040943,-42.782131,15.153001,-21.053366,6.197175,Walking
-2.046844,3.062781,9.482032,-0.429272,0.142662,1.057936,19.492966,-2.901558,-42.666126,12.166317,-20.143565,5.552312,Walking
-2.373913,2.835404,10.178085,-0.519221,0.373767,1.174369,19.972443,-3.162704,-42.63023,8.741748,-18.966312,5.264145,Walking
-3.310665,2.208058,10.214459,-0.607001,0.671644,1.316352,21.00042,-2.840757,-42.168797,4.907717,-17.622701,5.857079,Walking
-3.05365,2.304458,10.349778,-0.206414,0.78157,1.961733,21.974556,-4.125347,-41.441776,-0.536198,-17.416629,6.345423,Walking
